Gruppe;Kennzahl;Wert;Bewertung
Run 24;Gesamtdauer ms;78,598;unproblematisch
Run 24;Final Placed Rooms;8;
Run 24;Open Sockets Pre-Cap;3;
Run 24;Error Cause;None;
Run 25;Varianten-ID;Capping;
Run 25;Success / Failure;true;Success
Run 25;Gesamtdauer ms;73,692;unproblematisch
Run 25;Final Placed Rooms;8;
Run 25;Open Sockets Pre-Cap;3;
Run 25;Error Cause;None;
Run 26;Varianten-ID;Capping;
Run 26;Success / Failure;false;Failure
Run 26;Gesamtdauer ms;221,193;unproblematisch
Run 26;Final Placed Rooms;9;
Run 26;Open Sockets Pre-Cap;6;
Run 26;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 27;Varianten-ID;Capping;
Run 27;Success / Failure;true;Success
Run 27;Gesamtdauer ms;35,55;sehr schnell
Run 27;Final Placed Rooms;6;
Run 27;Open Sockets Pre-Cap;0;
Run 27;Error Cause;None;
Run 28;Varianten-ID;Capping;
Run 28;Success / Failure;true;Success
Run 28;Gesamtdauer ms;87,022;unproblematisch
Run 28;Final Placed Rooms;10;
Run 28;Open Sockets Pre-Cap;5;
Run 28;Error Cause;None;
Run 29;Varianten-ID;Capping;
Run 29;Success / Failure;true;Success
Run 29;Gesamtdauer ms;188,436;unproblematisch
Run 29;Final Placed Rooms;10;
Run 29;Open Sockets Pre-Cap;3;
Run 29;Error Cause;None;
Run 30;Varianten-ID;Capping;
Run 30;Success / Failure;true;Success
Run 30;Gesamtdauer ms;140,883;unproblematisch
Run 30;Final Placed Rooms;10;
Run 30;Open Sockets Pre-Cap;3;
Run 30;Error Cause;None;
Run 31;Varianten-ID;Capping;
Run 31;Success / Failure;true;Success
Run 31;Gesamtdauer ms;99,926;unproblematisch
Run 31;Final Placed Rooms;10;
Run 31;Open Sockets Pre-Cap;4;
Run 31;Error Cause;None;
Run 32;Varianten-ID;Capping;
Run 32;Success / Failure;true;Success
Run 32;Gesamtdauer ms;38,809;sehr schnell
Run 32;Final Placed Rooms;6;
Run 32;Open Sockets Pre-Cap;0;
Run 32;Error Cause;None;
Run 33;Varianten-ID;Capping;
Run 33;Success / Failure;true;Success
Run 33;Gesamtdauer ms;28,717;sehr schnell
Run 33;Final Placed Rooms;5;
Run 33;Open Sockets Pre-Cap;0;
Run 33;Error Cause;None;
Run 34;Varianten-ID;Capping;
Run 34;Success / Failure;true;Success
Run 34;Gesamtdauer ms;172,539;unproblematisch
Run 34;Final Placed Rooms;8;
Run 34;Open Sockets Pre-Cap;1;
Run 34;Error Cause;None;
Run 35;Varianten-ID;Capping;
Run 35;Success / Failure;true;Success
Run 35;Gesamtdauer ms;108,927;unproblematisch
Run 35;Final Placed Rooms;8;
Run 35;Open Sockets Pre-Cap;1;
Run 35;Error Cause;None;
Run 36;Varianten-ID;Capping;
Run 36;Success / Failure;true;Success
Run 36;Gesamtdauer ms;87,634;unproblematisch
Run 36;Final Placed Rooms;7;
Run 36;Open Sockets Pre-Cap;1;
Run 36;Error Cause;None;
Run 37;Varianten-ID;Capping;
Run 37;Success / Failure;true;Success
Run 37;Gesamtdauer ms;50,46;unproblematisch
Run 37;Final Placed Rooms;7;
Run 37;Open Sockets Pre-Cap;1;
Run 37;Error Cause;None;
Run 38;Varianten-ID;Capping;
Run 38;Success / Failure;false;Failure
Run 38;Gesamtdauer ms;145,131;unproblematisch
Run 38;Final Placed Rooms;12;
Run 38;Open Sockets Pre-Cap;7;
Run 38;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 39;Varianten-ID;Capping;
Run 39;Success / Failure;false;Failure
Run 39;Gesamtdauer ms;101,827;unproblematisch
Run 39;Final Placed Rooms;12;
Run 39;Open Sockets Pre-Cap;7;
Run 39;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 40;Varianten-ID;Capping;
Run 40;Success / Failure;true;Success
Run 40;Gesamtdauer ms;74,975;unproblematisch
Run 40;Final Placed Rooms;11;
Run 40;Open Sockets Pre-Cap;4;
Run 40;Error Cause;None;
Run 41;Varianten-ID;Capping;
Run 41;Success / Failure;false;Failure
Run 41;Gesamtdauer ms;77,186;unproblematisch
Run 41;Final Placed Rooms;11;
Run 41;Open Sockets Pre-Cap;6;
Run 41;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 42;Varianten-ID;Capping;
Run 42;Success / Failure;true;Success
Run 42;Gesamtdauer ms;47,144;sehr schnell
Run 42;Final Placed Rooms;7;
Run 42;Open Sockets Pre-Cap;0;
Run 42;Error Cause;None;
Run 43;Varianten-ID;Capping;
Run 43;Success / Failure;true;Success
Run 43;Gesamtdauer ms;123,292;unproblematisch
Run 43;Final Placed Rooms;13;
Run 43;Open Sockets Pre-Cap;4;
Run 43;Error Cause;None;
Run 44;Varianten-ID;Capping;
Run 44;Success / Failure;true;Success
Run 44;Gesamtdauer ms;110,792;unproblematisch
Run 44;Final Placed Rooms;13;
Run 44;Open Sockets Pre-Cap;4;
Run 44;Error Cause;None;
Run 45;Varianten-ID;Capping;
Run 45;Success / Failure;false;Failure
Run 45;Gesamtdauer ms;64,003;unproblematisch
Run 45;Final Placed Rooms;10;
Run 45;Open Sockets Pre-Cap;6;
Run 45;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 46;Varianten-ID;Capping;
Run 46;Success / Failure;true;Success
Run 46;Gesamtdauer ms;36,269;sehr schnell
Run 46;Final Placed Rooms;7;
Run 46;Open Sockets Pre-Cap;1;
Run 46;Error Cause;None;
Run 47;Varianten-ID;Capping;
Run 47;Success / Failure;true;Success
Run 47;Gesamtdauer ms;36,932;sehr schnell
Run 47;Final Placed Rooms;9;
Run 47;Open Sockets Pre-Cap;2;
Run 47;Error Cause;None;
Run 48;Varianten-ID;Capping;
Run 48;Success / Failure;true;Success
Run 48;Gesamtdauer ms;92,766;unproblematisch
Run 48;Final Placed Rooms;5;
Run 48;Open Sockets Pre-Cap;0;
Run 48;Error Cause;None;
Run 49;Varianten-ID;Capping;
Run 49;Success / Failure;true;Success
Run 49;Gesamtdauer ms;28,251;sehr schnell
Run 49;Final Placed Rooms;5;
Run 49;Open Sockets Pre-Cap;0;
Run 49;Error Cause;None;
Run 50;Varianten-ID;Capping;
Run 50;Success / Failure;true;Success
Run 50;Gesamtdauer ms;172,301;unproblematisch
Run 50;Final Placed Rooms;10;
Run 50;Open Sockets Pre-Cap;2;
Run 50;Error Cause;None;
Run 51;Varianten-ID;Capping;
Run 51;Success / Failure;true;Success
Run 51;Gesamtdauer ms;153,306;unproblematisch
Run 51;Final Placed Rooms;10;
Run 51;Open Sockets Pre-Cap;2;
Run 51;Error Cause;None;
Run 52;Varianten-ID;Capping;
Run 52;Success / Failure;true;Success
Run 52;Gesamtdauer ms;96,985;unproblematisch
Run 52;Final Placed Rooms;10;
Run 52;Open Sockets Pre-Cap;2;
Run 52;Error Cause;None;
Run 53;Varianten-ID;Capping;
Run 53;Success / Failure;true;Success
Run 53;Gesamtdauer ms;26,246;sehr schnell
Run 53;Final Placed Rooms;5;
Run 53;Open Sockets Pre-Cap;0;
Run 53;Error Cause;None;
Run 54;Varianten-ID;Capping;
Run 54;Success / Failure;true;Success
Run 54;Gesamtdauer ms;32,567;sehr schnell
Run 54;Final Placed Rooms;6;
Run 54;Open Sockets Pre-Cap;1;
Run 54;Error Cause;None;
Run 55;Varianten-ID;Capping;
Run 55;Success / Failure;false;Failure
Run 55;Gesamtdauer ms;53,161;unproblematisch
Run 55;Final Placed Rooms;11;
Run 55;Open Sockets Pre-Cap;7;
Run 55;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 56;Varianten-ID;Capping;
Run 56;Success / Failure;true;Success
Run 56;Gesamtdauer ms;63,358;unproblematisch
Run 56;Final Placed Rooms;10;
Run 56;Open Sockets Pre-Cap;4;
Run 56;Error Cause;None;
Run 57;Varianten-ID;Capping;
Run 57;Success / Failure;true;Success
Run 57;Gesamtdauer ms;54,444;unproblematisch
Run 57;Final Placed Rooms;10;
Run 57;Open Sockets Pre-Cap;5;
Run 57;Error Cause;None;
Run 58;Varianten-ID;Capping;
Run 58;Success / Failure;true;Success
Run 58;Gesamtdauer ms;33,355;sehr schnell
Run 58;Final Placed Rooms;9;
Run 58;Open Sockets Pre-Cap;3;
Run 58;Error Cause;None;
Run 59;Varianten-ID;Capping;
Run 59;Success / Failure;true;Success
Run 59;Gesamtdauer ms;131,358;unproblematisch
Run 59;Final Placed Rooms;12;
Run 59;Open Sockets Pre-Cap;5;
Run 59;Error Cause;None;
Run 60;Varianten-ID;Capping;
Run 60;Success / Failure;true;Success
Run 60;Gesamtdauer ms;52,563;unproblematisch
Run 60;Final Placed Rooms;6;
Run 60;Open Sockets Pre-Cap;1;
Run 60;Error Cause;None;
Run 61;Varianten-ID;Capping;
Run 61;Success / Failure;true;Success
Run 61;Gesamtdauer ms;43,348;sehr schnell
Run 61;Final Placed Rooms;6;
Run 61;Open Sockets Pre-Cap;1;
Run 61;Error Cause;None;
Run 62;Varianten-ID;Capping;
Run 62;Success / Failure;true;Success
Run 62;Gesamtdauer ms;50,361;unproblematisch
Run 62;Final Placed Rooms;9;
Run 62;Open Sockets Pre-Cap;4;
Run 62;Error Cause;None;
Run 63;Varianten-ID;Capping;
Run 63;Success / Failure;true;Success
Run 63;Gesamtdauer ms;59,99;unproblematisch
Run 63;Final Placed Rooms;9;
Run 63;Open Sockets Pre-Cap;3;
Run 63;Error Cause;None;
Run 64;Varianten-ID;Capping;
Run 64;Success / Failure;true;Success
Run 64;Gesamtdauer ms;49,529;sehr schnell
Run 64;Final Placed Rooms;9;
Run 64;Open Sockets Pre-Cap;3;
Run 64;Error Cause;None;
Run 65;Varianten-ID;Capping;
Run 65;Success / Failure;true;Success
Run 65;Gesamtdauer ms;63,252;unproblematisch
Run 65;Final Placed Rooms;7;
Run 65;Open Sockets Pre-Cap;4;
Run 65;Error Cause;None;
Run 66;Varianten-ID;Capping;
Run 66;Success / Failure;true;Success
Run 66;Gesamtdauer ms;71,531;unproblematisch
Run 66;Final Placed Rooms;8;
Run 66;Open Sockets Pre-Cap;3;
Run 66;Error Cause;None;
Run 67;Varianten-ID;Capping;
Run 67;Success / Failure;true;Success
Run 67;Gesamtdauer ms;54,328;unproblematisch
Run 67;Final Placed Rooms;8;
Run 67;Open Sockets Pre-Cap;3;
Run 67;Error Cause;None;
Run 68;Varianten-ID;Capping;
Run 68;Success / Failure;false;Failure
Run 68;Gesamtdauer ms;134,361;unproblematisch
Run 68;Final Placed Rooms;9;
Run 68;Open Sockets Pre-Cap;7;
Run 68;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 69;Varianten-ID;Capping;
Run 69;Success / Failure;false;Failure
Run 69;Gesamtdauer ms;61,206;unproblematisch
Run 69;Final Placed Rooms;9;
Run 69;Open Sockets Pre-Cap;7;
Run 69;Error Cause;OpenSocketsRemainingAfterCapping;
Run 70;Varianten-ID;Capping;
Run 70;Success / Failure;true;Success
Run 70;Gesamtdauer ms;58,19;unproblematisch
Run 70;Final Placed Rooms;9;
Run 70;Open Sockets Pre-Cap;3;
Run 70;Error Cause;None;
Run 71;Varianten-ID;Capping;
Run 71;Success / Failure;true;Success
Run 71;Gesamtdauer ms;35,295;sehr schnell
Run 71;Final Placed Rooms;7;
Run 71;Open Sockets Pre-Cap;2;
Run 71;Error Cause;None;
Run 72;Varianten-ID;Capping;
Run 72;Success / Failure;true;Success
Run 72;Gesamtdauer ms;105,671;unproblematisch
Run 72;Final Placed Rooms;10;
Run 72;Open Sockets Pre-Cap;3;
Run 72;Error Cause;None;
Run 73;Varianten-ID;Capping;
Run 73;Success / Failure;true;Success
Run 73;Gesamtdauer ms;40,843;sehr schnell
Run 73;Final Placed Rooms;10;
Run 73;Open Sockets Pre-Cap;3;
Run 73;Error Cause;None;
Run 74;Varianten-ID;Capping;
Run 74;Success / Failure;false;Failure
Run 74;Gesamtdauer ms;152,206;unproblematisch
Run 74;Final Placed Rooms;12;
Run 74;Open Sockets Pre-Cap;6;
Run 74;Error Cause;OpenSocketsRemainingAfterCapping (Overlap);
Run 75;Varianten-ID;Capping;
Run 75;Success / Failure;true;Success
Run 75;Gesamtdauer ms;41,622;sehr schnell
Run 75;Final Placed Rooms;8;
Run 75;Open Sockets Pre-Cap;3;
Run 75;Error Cause;None;
Run 76;Varianten-ID;Capping;
Run 76;Success / Failure;true;Success
Run 76;Gesamtdauer ms;44,773;sehr schnell
Run 76;Final Placed Rooms;12;
Run 76;Open Sockets Pre-Cap;5;
Run 76;Error Cause;None;
Run 77;Varianten-ID;Capping;
Run 77;Success / Failure;true;Success
Run 77;Gesamtdauer ms;120,296;unproblematisch
Run 77;Final Placed Rooms;6;
Run 77;Open Sockets Pre-Cap;1;
Run 77;Error Cause;None;
Run 78;Varianten-ID;Capping;
Run 78;Success / Failure;true;Success
Run 78;Gesamtdauer ms;116,489;unproblematisch
Run 78;Final Placed Rooms;6;
Run 78;Open Sockets Pre-Cap;1;
Run 78;Error Cause;None;
Run 79;Varianten-ID;Capping;
Run 79;Success / Failure;true;Success
Run 79;Gesamtdauer ms;112,635;unproblematisch
Run 79;Final Placed Rooms;6;
Run 79;Open Sockets Pre-Cap;1;
Run 79;Error Cause;None;
Run 80;Varianten-ID;Capping;
Run 80;Success / Failure;true;Success
Run 80;Gesamtdauer ms;78,555;unproblematisch
Run 80;Final Placed Rooms;6;
Run 80;Open Sockets Pre-Cap;1;
Run 80;Error Cause;None;
Run 81;Varianten-ID;Capping;
Run 81;Success / Failure;true;Success
Run 81;Gesamtdauer ms;137,767;unproblematisch
Run 81;Final Placed Rooms;12;
Run 81;Open Sockets Pre-Cap;4;
Run 81;Error Cause;None;
Run 82;Varianten-ID;Capping;
Run 82;Success / Failure;true;Success
Run 82;Gesamtdauer ms;55,615;unproblematisch
Run 82;Final Placed Rooms;7;
Run 82;Open Sockets Pre-Cap;3;
Run 82;Error Cause;None;
Run 83;Varianten-ID;Capping;
Run 83;Success / Failure;true;Success
Run 83;Gesamtdauer ms;46,469;sehr schnell
Run 83;Final Placed Rooms;7;
Run 83;Open Sockets Pre-Cap;3;
Run 83;Error Cause;None;
