Gruppe;Kennzahl;Wert;Bewertung
Run 55;Success / Failure;true;Success
Run 55;Gesamtdauer ms;2213,431;teuer, Performance pruefen
Run 55;Final Placed Rooms;18;
Run 55;Open Sockets Pre-Cap;11;
Run 55;Error Cause;None;
Run 56;Varianten-ID;HighControl;
Run 56;Success / Failure;true;Success
Run 56;Gesamtdauer ms;2255,809;teuer, Performance pruefen
Run 56;Final Placed Rooms;17;
Run 56;Open Sockets Pre-Cap;8;
Run 56;Error Cause;None;
Run 57;Varianten-ID;HighControl;
Run 57;Success / Failure;true;Success
Run 57;Gesamtdauer ms;2220,375;teuer, Performance pruefen
Run 57;Final Placed Rooms;18;
Run 57;Open Sockets Pre-Cap;10;
Run 57;Error Cause;None;
Run 58;Varianten-ID;HighControl;
Run 58;Success / Failure;true;Success
Run 58;Gesamtdauer ms;2199,927;teuer, Performance pruefen
Run 58;Final Placed Rooms;14;
Run 58;Open Sockets Pre-Cap;4;
Run 58;Error Cause;None;
Run 59;Varianten-ID;HighControl;
Run 59;Success / Failure;true;Success
Run 59;Gesamtdauer ms;2211,127;teuer, Performance pruefen
Run 59;Final Placed Rooms;18;
Run 59;Open Sockets Pre-Cap;7;
Run 59;Error Cause;None;
Run 60;Varianten-ID;HighControl;
Run 60;Success / Failure;true;Success
Run 60;Gesamtdauer ms;1972,964;teuer, Performance pruefen
Run 60;Final Placed Rooms;16;
Run 60;Open Sockets Pre-Cap;8;
Run 60;Error Cause;None;
Run 61;Varianten-ID;HighControl;
Run 61;Success / Failure;true;Success
Run 61;Gesamtdauer ms;2003,917;teuer, Performance pruefen
Run 61;Final Placed Rooms;17;
Run 61;Open Sockets Pre-Cap;6;
Run 61;Error Cause;None;
Run 62;Varianten-ID;HighControl;
Run 62;Success / Failure;true;Success
Run 62;Gesamtdauer ms;2030,313;teuer, Performance pruefen
Run 62;Final Placed Rooms;13;
Run 62;Open Sockets Pre-Cap;2;
Run 62;Error Cause;None;
Run 63;Varianten-ID;HighControl;
Run 63;Success / Failure;true;Success
Run 63;Gesamtdauer ms;1770,848;teuer, Performance pruefen
Run 63;Final Placed Rooms;22;
Run 63;Open Sockets Pre-Cap;6;
Run 63;Error Cause;None;
Run 64;Varianten-ID;HighControl;
Run 64;Success / Failure;true;Success
Run 64;Gesamtdauer ms;1730,096;teuer, Performance pruefen
Run 64;Final Placed Rooms;22;
Run 64;Open Sockets Pre-Cap;6;
Run 64;Error Cause;None;
Run 65;Varianten-ID;HighControl;
Run 65;Success / Failure;true;Success
Run 65;Gesamtdauer ms;1595,9;teuer, Performance pruefen
Run 65;Final Placed Rooms;22;
Run 65;Open Sockets Pre-Cap;6;
Run 65;Error Cause;None;
Run 66;Varianten-ID;HighControl;
Run 66;Success / Failure;true;Success
Run 66;Gesamtdauer ms;1359,743;teuer, Performance pruefen
Run 66;Final Placed Rooms;22;
Run 66;Open Sockets Pre-Cap;6;
Run 66;Error Cause;None;
Run 67;Varianten-ID;HighControl;
Run 67;Success / Failure;true;Success
Run 67;Gesamtdauer ms;1288,774;teuer, Performance pruefen
Run 67;Final Placed Rooms;22;
Run 67;Open Sockets Pre-Cap;6;
Run 67;Error Cause;None;
Run 68;Varianten-ID;HighControl;
Run 68;Success / Failure;true;Success
Run 68;Gesamtdauer ms;1274,811;teuer, Performance pruefen
Run 68;Final Placed Rooms;22;
Run 68;Open Sockets Pre-Cap;6;
Run 68;Error Cause;None;
Run 69;Varianten-ID;HighControl;
Run 69;Success / Failure;true;Success
Run 69;Gesamtdauer ms;1069,868;teuer, Performance pruefen
Run 69;Final Placed Rooms;22;
Run 69;Open Sockets Pre-Cap;6;
Run 69;Error Cause;None;
Run 70;Varianten-ID;HighControl;
Run 70;Success / Failure;true;Success
Run 70;Gesamtdauer ms;989,949;spuerbar, aber fuer Offline-Generierung brauchbar
Run 70;Final Placed Rooms;22;
Run 70;Open Sockets Pre-Cap;6;
Run 70;Error Cause;None;
Run 71;Varianten-ID;HighControl;
Run 71;Success / Failure;true;Success
Run 71;Gesamtdauer ms;840,088;spuerbar, aber fuer Offline-Generierung brauchbar
Run 71;Final Placed Rooms;22;
Run 71;Open Sockets Pre-Cap;6;
Run 71;Error Cause;None;
Run 72;Varianten-ID;HighControl;
Run 72;Success / Failure;true;Success
Run 72;Gesamtdauer ms;731,114;spuerbar, aber fuer Offline-Generierung brauchbar
Run 72;Final Placed Rooms;22;
Run 72;Open Sockets Pre-Cap;6;
Run 72;Error Cause;None;
Run 73;Varianten-ID;HighControl;
Run 73;Success / Failure;true;Success
Run 73;Gesamtdauer ms;595,861;spuerbar, aber fuer Offline-Generierung brauchbar
Run 73;Final Placed Rooms;22;
Run 73;Open Sockets Pre-Cap;6;
Run 73;Error Cause;None;
Run 74;Varianten-ID;HighControl;
Run 74;Success / Failure;true;Success
Run 74;Gesamtdauer ms;518,073;spuerbar, aber fuer Offline-Generierung brauchbar
Run 74;Final Placed Rooms;22;
Run 74;Open Sockets Pre-Cap;6;
Run 74;Error Cause;None;
Run 75;Varianten-ID;HighControl;
Run 75;Success / Failure;true;Success
Run 75;Gesamtdauer ms;425,3;spuerbar, aber fuer Offline-Generierung brauchbar
Run 75;Final Placed Rooms;22;
Run 75;Open Sockets Pre-Cap;6;
Run 75;Error Cause;None;
Run 76;Varianten-ID;HighControl;
Run 76;Success / Failure;true;Success
Run 76;Gesamtdauer ms;240,639;unproblematisch
Run 76;Final Placed Rooms;22;
Run 76;Open Sockets Pre-Cap;6;
Run 76;Error Cause;None;
Run 77;Varianten-ID;HighControl;
Run 77;Success / Failure;true;Success
Run 77;Gesamtdauer ms;139,355;unproblematisch
Run 77;Final Placed Rooms;22;
Run 77;Open Sockets Pre-Cap;6;
Run 77;Error Cause;None;
Run 78;Varianten-ID;HighControl;
Run 78;Success / Failure;true;Success
Run 78;Gesamtdauer ms;2164,82;teuer, Performance pruefen
Run 78;Final Placed Rooms;18;
Run 78;Open Sockets Pre-Cap;10;
Run 78;Error Cause;None;
Run 79;Varianten-ID;HighControl;
Run 79;Success / Failure;true;Success
Run 79;Gesamtdauer ms;2266,116;teuer, Performance pruefen
Run 79;Final Placed Rooms;17;
Run 79;Open Sockets Pre-Cap;5;
Run 79;Error Cause;None;
Run 80;Varianten-ID;HighControl;
Run 80;Success / Failure;true;Success
Run 80;Gesamtdauer ms;2253,515;teuer, Performance pruefen
Run 80;Final Placed Rooms;17;
Run 80;Open Sockets Pre-Cap;7;
Run 80;Error Cause;None;
Run 81;Varianten-ID;HighControl;
Run 81;Success / Failure;true;Success
Run 81;Gesamtdauer ms;2478,717;teuer, Performance pruefen
Run 81;Final Placed Rooms;16;
Run 81;Open Sockets Pre-Cap;9;
Run 81;Error Cause;None;
Run 82;Varianten-ID;HighControl;
Run 82;Success / Failure;true;Success
Run 82;Gesamtdauer ms;2268,64;teuer, Performance pruefen
Run 82;Final Placed Rooms;16;
Run 82;Open Sockets Pre-Cap;8;
Run 82;Error Cause;None;
Run 83;Varianten-ID;HighControl;
Run 83;Success / Failure;true;Success
Run 83;Gesamtdauer ms;2214,244;teuer, Performance pruefen
Run 83;Final Placed Rooms;16;
Run 83;Open Sockets Pre-Cap;6;
Run 83;Error Cause;None;
Run 84;Varianten-ID;HighControl;
Run 84;Success / Failure;true;Success
Run 84;Gesamtdauer ms;2107,48;teuer, Performance pruefen
Run 84;Final Placed Rooms;19;
Run 84;Open Sockets Pre-Cap;7;
Run 84;Error Cause;None;
Run 85;Varianten-ID;HighControl;
Run 85;Success / Failure;true;Success
Run 85;Gesamtdauer ms;2173,444;teuer, Performance pruefen
Run 85;Final Placed Rooms;17;
Run 85;Open Sockets Pre-Cap;8;
Run 85;Error Cause;None;
Run 86;Varianten-ID;HighControl;
Run 86;Success / Failure;true;Success
Run 86;Gesamtdauer ms;2197,826;teuer, Performance pruefen
Run 86;Final Placed Rooms;16;
Run 86;Open Sockets Pre-Cap;7;
Run 86;Error Cause;None;
Run 87;Varianten-ID;HighControl;
Run 87;Success / Failure;true;Success
Run 87;Gesamtdauer ms;2496,938;teuer, Performance pruefen
Run 87;Final Placed Rooms;14;
Run 87;Open Sockets Pre-Cap;10;
Run 87;Error Cause;None;
Run 88;Varianten-ID;HighControl;
Run 88;Success / Failure;true;Success
Run 88;Gesamtdauer ms;2487,108;teuer, Performance pruefen
Run 88;Final Placed Rooms;15;
Run 88;Open Sockets Pre-Cap;5;
Run 88;Error Cause;None;
Run 89;Varianten-ID;HighControl;
Run 89;Success / Failure;true;Success
Run 89;Gesamtdauer ms;2583,313;teuer, Performance pruefen
Run 89;Final Placed Rooms;18;
Run 89;Open Sockets Pre-Cap;10;
Run 89;Error Cause;None;
Run 90;Varianten-ID;HighControl;
Run 90;Success / Failure;true;Success
Run 90;Gesamtdauer ms;2333,978;teuer, Performance pruefen
Run 90;Final Placed Rooms;18;
Run 90;Open Sockets Pre-Cap;10;
Run 90;Error Cause;None;
Run 91;Varianten-ID;HighControl;
Run 91;Success / Failure;true;Success
Run 91;Gesamtdauer ms;2171,898;teuer, Performance pruefen
Run 91;Final Placed Rooms;19;
Run 91;Open Sockets Pre-Cap;14;
Run 91;Error Cause;None;
Run 92;Varianten-ID;HighControl;
Run 92;Success / Failure;true;Success
Run 92;Gesamtdauer ms;2224,444;teuer, Performance pruefen
Run 92;Final Placed Rooms;15;
Run 92;Open Sockets Pre-Cap;5;
Run 92;Error Cause;None;
Run 93;Varianten-ID;HighControl;
Run 93;Success / Failure;true;Success
Run 93;Gesamtdauer ms;2136,779;teuer, Performance pruefen
Run 93;Final Placed Rooms;16;
Run 93;Open Sockets Pre-Cap;6;
Run 93;Error Cause;None;
Run 94;Varianten-ID;HighControl;
Run 94;Success / Failure;true;Success
Run 94;Gesamtdauer ms;2114,973;teuer, Performance pruefen
Run 94;Final Placed Rooms;19;
Run 94;Open Sockets Pre-Cap;12;
Run 94;Error Cause;None;
Run 95;Varianten-ID;HighControl;
Run 95;Success / Failure;true;Success
Run 95;Gesamtdauer ms;2299,108;teuer, Performance pruefen
Run 95;Final Placed Rooms;17;
Run 95;Open Sockets Pre-Cap;7;
Run 95;Error Cause;None;
Run 96;Varianten-ID;HighControl;
Run 96;Success / Failure;true;Success
Run 96;Gesamtdauer ms;2332,842;teuer, Performance pruefen
Run 96;Final Placed Rooms;15;
Run 96;Open Sockets Pre-Cap;3;
Run 96;Error Cause;None;
Run 97;Varianten-ID;HighControl;
Run 97;Success / Failure;true;Success
Run 97;Gesamtdauer ms;2338,161;teuer, Performance pruefen
Run 97;Final Placed Rooms;16;
Run 97;Open Sockets Pre-Cap;6;
Run 97;Error Cause;None;
Run 98;Varianten-ID;HighControl;
Run 98;Success / Failure;true;Success
Run 98;Gesamtdauer ms;2306,273;teuer, Performance pruefen
Run 98;Final Placed Rooms;19;
Run 98;Open Sockets Pre-Cap;12;
Run 98;Error Cause;None;
Run 99;Varianten-ID;HighControl;
Run 99;Success / Failure;true;Success
Run 99;Gesamtdauer ms;2493,315;teuer, Performance pruefen
Run 99;Final Placed Rooms;19;
Run 99;Open Sockets Pre-Cap;13;
Run 99;Error Cause;None;
Run 100;Varianten-ID;HighControl;
Run 100;Success / Failure;true;Success
Run 100;Gesamtdauer ms;2716,253;teuer, Performance pruefen
Run 100;Final Placed Rooms;18;
Run 100;Open Sockets Pre-Cap;14;
Run 100;Error Cause;None;
Run 101;Varianten-ID;HighControl;
Run 101;Success / Failure;true;Success
Run 101;Gesamtdauer ms;2654,938;teuer, Performance pruefen
Run 101;Final Placed Rooms;16;
Run 101;Open Sockets Pre-Cap;7;
Run 101;Error Cause;None;
Run 102;Varianten-ID;HighControl;
Run 102;Success / Failure;true;Success
Run 102;Gesamtdauer ms;2857,245;teuer, Performance pruefen
Run 102;Final Placed Rooms;14;
Run 102;Open Sockets Pre-Cap;8;
Run 102;Error Cause;None;
Run 103;Varianten-ID;HighControl;
Run 103;Success / Failure;true;Success
Run 103;Gesamtdauer ms;2764,44;teuer, Performance pruefen
Run 103;Final Placed Rooms;16;
Run 103;Open Sockets Pre-Cap;7;
Run 103;Error Cause;None;
Run 104;Varianten-ID;HighControl;
