Gruppe;Kennzahl;Wert;Bewertung
Run 35;Varianten-ID;Standard;
Run 35;Success / Failure;true;Success
Run 35;Gesamtdauer ms;439,343;spuerbar, aber fuer Offline-Generierung brauchbar
Run 35;Final Placed Rooms;16;
Run 35;Open Sockets Pre-Cap;5;
Run 35;Error Cause;None;
Run 36;Varianten-ID;Standard;
Run 36;Success / Failure;true;Success
Run 36;Gesamtdauer ms;340,281;spuerbar, aber fuer Offline-Generierung brauchbar
Run 36;Final Placed Rooms;16;
Run 36;Open Sockets Pre-Cap;5;
Run 36;Error Cause;None;
Run 37;Varianten-ID;Standard;
Run 37;Success / Failure;true;Success
Run 37;Gesamtdauer ms;200,121;unproblematisch
Run 37;Final Placed Rooms;16;
Run 37;Open Sockets Pre-Cap;5;
Run 37;Error Cause;None;
Run 38;Varianten-ID;Standard;
Run 38;Success / Failure;true;Success
Run 38;Gesamtdauer ms;135,607;unproblematisch
Run 38;Final Placed Rooms;16;
Run 38;Open Sockets Pre-Cap;5;
Run 38;Error Cause;None;
Run 39;Varianten-ID;Standard;
Run 39;Success / Failure;true;Success
Run 39;Gesamtdauer ms;383,244;spuerbar, aber fuer Offline-Generierung brauchbar
Run 39;Final Placed Rooms;20;
Run 39;Open Sockets Pre-Cap;10;
Run 39;Error Cause;None;
Run 40;Varianten-ID;Standard;
Run 40;Success / Failure;true;Success
Run 40;Gesamtdauer ms;372,702;spuerbar, aber fuer Offline-Generierung brauchbar
Run 40;Final Placed Rooms;20;
Run 40;Open Sockets Pre-Cap;10;
Run 40;Error Cause;None;
Run 41;Varianten-ID;Standard;
Run 41;Success / Failure;true;Success
Run 41;Gesamtdauer ms;212,744;unproblematisch
Run 41;Final Placed Rooms;20;
Run 41;Open Sockets Pre-Cap;10;
Run 41;Error Cause;None;
Run 42;Varianten-ID;Standard;
Run 42;Success / Failure;true;Success
Run 42;Gesamtdauer ms;179,641;unproblematisch
Run 42;Final Placed Rooms;15;
Run 42;Open Sockets Pre-Cap;7;
Run 42;Error Cause;None;
Run 43;Varianten-ID;Standard;
Run 43;Success / Failure;true;Success
Run 43;Gesamtdauer ms;166,554;unproblematisch
Run 43;Final Placed Rooms;12;
Run 43;Open Sockets Pre-Cap;3;
Run 43;Error Cause;None;
Run 44;Varianten-ID;Standard;
Run 44;Success / Failure;true;Success
Run 44;Gesamtdauer ms;1058,311;teuer, Performance pruefen
Run 44;Final Placed Rooms;16;
Run 44;Open Sockets Pre-Cap;5;
Run 44;Error Cause;None;
Run 45;Varianten-ID;Standard;
Run 45;Success / Failure;true;Success
Run 45;Gesamtdauer ms;940,391;spuerbar, aber fuer Offline-Generierung brauchbar
Run 45;Final Placed Rooms;16;
Run 45;Open Sockets Pre-Cap;5;
Run 45;Error Cause;None;
Run 46;Varianten-ID;Standard;
Run 46;Success / Failure;true;Success
Run 46;Gesamtdauer ms;753,664;spuerbar, aber fuer Offline-Generierung brauchbar
Run 46;Final Placed Rooms;16;
Run 46;Open Sockets Pre-Cap;5;
Run 46;Error Cause;None;
Run 47;Varianten-ID;Standard;
Run 47;Success / Failure;true;Success
Run 47;Gesamtdauer ms;528,181;spuerbar, aber fuer Offline-Generierung brauchbar
Run 47;Final Placed Rooms;16;
Run 47;Open Sockets Pre-Cap;5;
Run 47;Error Cause;None;
Run 48;Varianten-ID;Standard;
Run 48;Success / Failure;true;Success
Run 48;Gesamtdauer ms;450,784;spuerbar, aber fuer Offline-Generierung brauchbar
Run 48;Final Placed Rooms;16;
Run 48;Open Sockets Pre-Cap;5;
Run 48;Error Cause;None;
Run 49;Varianten-ID;Standard;
Run 49;Success / Failure;true;Success
Run 49;Gesamtdauer ms;301,927;spuerbar, aber fuer Offline-Generierung brauchbar
Run 49;Final Placed Rooms;16;
Run 49;Open Sockets Pre-Cap;5;
Run 49;Error Cause;None;
Run 50;Varianten-ID;Standard;
Run 50;Success / Failure;true;Success
Run 50;Gesamtdauer ms;786,98;spuerbar, aber fuer Offline-Generierung brauchbar
Run 50;Final Placed Rooms;12;
Run 50;Open Sockets Pre-Cap;6;
Run 50;Error Cause;None;
Run 51;Varianten-ID;Standard;
Run 51;Success / Failure;true;Success
Run 51;Gesamtdauer ms;622,014;spuerbar, aber fuer Offline-Generierung brauchbar
Run 51;Final Placed Rooms;12;
Run 51;Open Sockets Pre-Cap;6;
Run 51;Error Cause;None;
Run 52;Varianten-ID;Standard;
Run 52;Success / Failure;true;Success
Run 52;Gesamtdauer ms;500,028;spuerbar, aber fuer Offline-Generierung brauchbar
Run 52;Final Placed Rooms;12;
Run 52;Open Sockets Pre-Cap;6;
Run 52;Error Cause;None;
Run 53;Varianten-ID;Standard;
Run 53;Success / Failure;true;Success
Run 53;Gesamtdauer ms;390,008;spuerbar, aber fuer Offline-Generierung brauchbar
Run 53;Final Placed Rooms;12;
Run 53;Open Sockets Pre-Cap;6;
Run 53;Error Cause;None;
Run 54;Varianten-ID;Standard;
Run 54;Success / Failure;true;Success
Run 54;Gesamtdauer ms;322,801;spuerbar, aber fuer Offline-Generierung brauchbar
Run 54;Final Placed Rooms;12;
Run 54;Open Sockets Pre-Cap;6;
Run 54;Error Cause;None;
Run 55;Varianten-ID;Standard;
Run 55;Success / Failure;true;Success
Run 55;Gesamtdauer ms;191,315;unproblematisch
Run 55;Final Placed Rooms;12;
Run 55;Open Sockets Pre-Cap;6;
Run 55;Error Cause;None;
Run 56;Varianten-ID;Standard;
Run 56;Success / Failure;true;Success
Run 56;Gesamtdauer ms;75,066;unproblematisch
Run 56;Final Placed Rooms;12;
Run 56;Open Sockets Pre-Cap;6;
Run 56;Error Cause;None;
Run 57;Varianten-ID;Standard;
Run 57;Success / Failure;true;Success
Run 57;Gesamtdauer ms;1849,135;teuer, Performance pruefen
Run 57;Final Placed Rooms;11;
Run 57;Open Sockets Pre-Cap;6;
Run 57;Error Cause;None;
Run 58;Varianten-ID;Standard;
Run 58;Success / Failure;true;Success
Run 58;Gesamtdauer ms;1631,559;teuer, Performance pruefen
Run 58;Final Placed Rooms;11;
Run 58;Open Sockets Pre-Cap;6;
Run 58;Error Cause;None;
Run 59;Varianten-ID;Standard;
Run 59;Success / Failure;true;Success
Run 59;Gesamtdauer ms;1580,121;teuer, Performance pruefen
Run 59;Final Placed Rooms;11;
Run 59;Open Sockets Pre-Cap;6;
Run 59;Error Cause;None;
Run 60;Varianten-ID;Standard;
Run 60;Success / Failure;true;Success
Run 60;Gesamtdauer ms;1375,024;teuer, Performance pruefen
Run 60;Final Placed Rooms;11;
Run 60;Open Sockets Pre-Cap;6;
Run 60;Error Cause;None;
Run 61;Varianten-ID;Standard;
Run 61;Success / Failure;true;Success
Run 61;Gesamtdauer ms;1335,149;teuer, Performance pruefen
Run 61;Final Placed Rooms;11;
Run 61;Open Sockets Pre-Cap;6;
Run 61;Error Cause;None;
Run 62;Varianten-ID;Standard;
Run 62;Success / Failure;true;Success
Run 62;Gesamtdauer ms;1267,502;teuer, Performance pruefen
Run 62;Final Placed Rooms;11;
Run 62;Open Sockets Pre-Cap;6;
Run 62;Error Cause;None;
Run 63;Varianten-ID;Standard;
Run 63;Success / Failure;true;Success
Run 63;Gesamtdauer ms;1008,013;teuer, Performance pruefen
Run 63;Final Placed Rooms;11;
Run 63;Open Sockets Pre-Cap;6;
Run 63;Error Cause;None;
Run 64;Varianten-ID;Standard;
Run 64;Success / Failure;true;Success
Run 64;Gesamtdauer ms;984,725;spuerbar, aber fuer Offline-Generierung brauchbar
Run 64;Final Placed Rooms;11;
Run 64;Open Sockets Pre-Cap;6;
Run 64;Error Cause;None;
Run 65;Varianten-ID;Standard;
Run 65;Success / Failure;true;Success
Run 65;Gesamtdauer ms;783,11;spuerbar, aber fuer Offline-Generierung brauchbar
Run 65;Final Placed Rooms;11;
Run 65;Open Sockets Pre-Cap;6;
Run 65;Error Cause;None;
Run 66;Varianten-ID;Standard;
Run 66;Success / Failure;true;Success
Run 66;Gesamtdauer ms;643,771;spuerbar, aber fuer Offline-Generierung brauchbar
Run 66;Final Placed Rooms;11;
Run 66;Open Sockets Pre-Cap;6;
Run 66;Error Cause;None;
Run 67;Varianten-ID;Standard;
Run 67;Success / Failure;true;Success
Run 67;Gesamtdauer ms;553,041;spuerbar, aber fuer Offline-Generierung brauchbar
Run 67;Final Placed Rooms;11;
Run 67;Open Sockets Pre-Cap;6;
Run 67;Error Cause;None;
Run 68;Varianten-ID;Standard;
Run 68;Success / Failure;true;Success
Run 68;Gesamtdauer ms;442,357;spuerbar, aber fuer Offline-Generierung brauchbar
Run 68;Final Placed Rooms;11;
Run 68;Open Sockets Pre-Cap;6;
Run 68;Error Cause;None;
Run 69;Varianten-ID;Standard;
Run 69;Success / Failure;true;Success
Run 69;Gesamtdauer ms;199,397;unproblematisch
Run 69;Final Placed Rooms;11;
Run 69;Open Sockets Pre-Cap;6;
Run 69;Error Cause;None;
Run 70;Varianten-ID;Standard;
Run 70;Success / Failure;true;Success
Run 70;Gesamtdauer ms;93,071;unproblematisch
Run 70;Final Placed Rooms;11;
